x,y,Aspect,ELEV,FRG,K_Factor,MAP,MAT,NDVI,NLCD,Silt_Clay,Slope,TPI,NLCD,SOC
-1065285,2513795,179.9624939,2710.659668,5,0.050000001,878.7125854,-0.221368402,0.523623228,4,41.746315,10.33343029,17.73820305,4,13.9632822234053
-1055285,1913795,165.2600555,2401.810547,3,0.216600001,537.4475098,5.753099918,0.563700378,5,56.5320015,17.488554,-0.84674871,2,8.30759875220281
-775285,1243795,163.0985718,1266.271118,2,0.416799992,350.8009949,14.66674995,0.217412502,5,61.83399963,2.261213303,-0.003647,2,2.07124452434923
-335285,1703795,150.3284302,699.5582275,2,0.319999993,559.1364746,12.45453167,0.42796424,7,84.546875,1.091575265,-0.670306802,3,6.38559652439343
-995285,2073795,174.075592,1977.379761,5,0.254400015,285.2424011,6.154950142,0.173211142,5,39.39199829,3.914576292,-3.117281675,2,2.7856409214658
-955285,2023795,204.9497681,2301.737549,3,0.283636361,656.1188965,4.977575779,0.615948439,5,61.70101166,9.354703903,-3.468661308,2,10.4496741701697
-975285,1163795,135.7122345,1268.833008,2,0.310400009,255.910614,16.28009987,0.169326723,5,54.02500153,1.525728941,-8.357074738,2,2.04688819418372
-1115285,1613795,193.5965271,1610.343506,132,0.550000012,218.4015808,11.46702003,0.117658608,5,59.29999924,1.803091168,-2.656299353,2,2.19936700114032
-45285,1713795,178.9953156,406.9046631,2,0.367272735,902.2103271,12.64787865,0.692755759,6,83.40403748,2.92980051,-0.539494157,1,12.3935695527573
-1035285,1683795,189.4299774,3027.863037,3,0.06010101,885.9488525,3.016363621,0.69257921,4,26.07676697,15.79122257,2.181789398,4,18.8317559897985
-825285,2063795,112.085556,2276.975342,4,0.307349384,329.04599,4.864578247,0.394481391,5,38.18192673,3.168558598,-8.757852554,2,6.40588106240159
-925285,2383795,166.2618103,1453.485107,4,0.361499995,306.6528015,7.538499832,0.174116358,5,56.50600052,5.031852722,-0.00372891,2,3.01491132486581
-795285,1503795,133.1891479,2195.786865,3,0.348775506,513.3936157,8.488826752,0.512743354,6,72.99694061,7.338524818,1.082059979,1,8.88015045598114
-145285,1623795,177.4469147,435.7817688,2,0.287741929,803.083252,13.74059105,0.493325055,7,57.49677277,1.103441119,0.194782823,3,5.24348063116943
-665285,1183795,158.1593475,1227.287476,2,0.237142861,413.1116638,14.57780647,0.336149752,5,32.86938858,1.022967696,-0.151772156,2,2.10893895903082
-635285,1403795,157.4617004,1178.534424,2,0.15513514,434.9225159,13.63317585,0.314280927,5,23.11756706,1.292104006,-0.942916155,2,2.20856759562142
-335285,1763795,169.0377045,709.3165283,2,0.306521744,536.5367432,11.87983704,0.441972107,6,76.15000153,1.559611559,0.741542697,1,5.18546491465975
-525285,1673795,137.7434235,1059.483521,2,0.213437498,429.2068176,11.97833347,0.372772545,7,42.86562347,1.122511506,-0.133181274,3,5.11928449108801
-1055285,1843795,222.930191,1680.135986,4,0.172424242,326.5334473,10.4482832,0.248444468,5,52.4757576,7.256564617,-4.731430531,2,2.33482224732411
-375285,1663795,129.9390259,828.9901733,2,0.362268031,543.9362183,12.36530972,0.443764001,7,80.81546021,0.73532629,0.147408292,3,5.78345539564093
4715,1803795,178.5321655,319.8654175,2,0.348478258,918.4418335,12.44869518,0.720246434,7,83.72717285,1.948668122,-1.442599654,3,9.90047505979377
-695285,1573795,150.2059021,1969.414063,3,0.28061223,447.8937073,9.472295761,0.486938447,4,44.95510101,7.411496639,5.321649551,4,7.79321905470201
-935285,2053795,170.7797852,2263.30249,3,0.079899997,541.7138062,4.876150131,0.617687345,5,23.06200027,11.54958344,9.257642746,2,11.5472352611381
-765285,1413795,147.8880157,1534.247192,2,0.239299998,409.7684021,12.59179974,0.294251561,6,40.92399979,5.341538906,4.777447701,1,3.03147266732251
-1005285,1073795,165.5195007,1210.360596,5,0.254074067,233.5061493,16.86864281,0.484218746,5,47.11234665,1.832084537,-2.306153059,2,4.00614057588529
-1145285,1223795,171.3023987,2349.567139,1,0.3565,473.6503906,9.228549957,0.415401548,4,59.41400146,8.558256149,-1.118766546,4,5.28606976573284
-195285,1553795,142.5811157,393.1228027,2,0.191666663,791.6548462,14.81099987,0.571959615,6,28.2266674,0.994650066,-0.430820823,1,5.36855444992776
-1055285,1743795,187.1044464,2369.020752,3,0.274747461,470.0097961,6.619949341,0.544349611,4,62.10606003,9.632108688,0.160251722,4,6.61366956831462
-95285,1743795,165.1920624,409.5541077,2,0.319999993,857.192749,12.77774239,0.549560785,7,83,1.716577172,0.090570092,3,8.92098928111852
-105285,1813795,182.2544861,393.5301208,2,0.351318687,801.4031372,12.61412048,0.612039566,7,76.39560699,1.450217605,-0.250474244,3,7.45868012375402
-715285,1253795,186.8540497,1361.205811,2,0.209700003,406.8160095,14.07499981,0.286500871,6,34.21099854,1.987860322,1.161287069,1,1.63815777639354
-785285,2203795,151.2708893,2159.162109,1,0.205894738,514.5787964,4.505421162,0.543381214,4,43.90947342,11.22135639,5.009077549,4,7.88669275269422
-1155285,1243795,206.5089722,2396.289795,1,0.261200011,595.3806152,8.966500282,0.482564241,4,60.54800034,11.05695724,-6.653693676,4,7.39221472811957
74715,1763795,160.1227112,275.617218,2,0.336043954,982.6343994,12.91945076,0.718962908,7,75.57032776,1.801658392,-0.243113622,3,11.5961306867084
